Left Cell Higher; logFC,Same Level; logFC,Right Cell Higher; logFC, ,Criteria:, p = N/A, medRPKM = 25.0, logFC Threshold = 0.2
C18E3.2; -1.17250377834,C34C12.4; -0.075266787665,C17H11.2; 0.776982942078
C18E3.3; -1.70842785509,C34C12.8; 0.0557623330694,C17H12.13; 0.437757042486
C18E3.5; -0.787219023009,C34D4.13; -0.0575814660254,C18A3.1; 0.461695494438
C18E3.9; -0.820668313727,C34G6.5; 0.0215326566859,C18A3.2; 0.228170922991
C18F10.7; -0.229856402211,C35D10.13; -0.165942935364,C18A3.3; 0.599898198736
C23G10.2; -0.781015501079,C37A2.7; -0.155022082304,C18B12.4; 0.41475427427
C23G10.8; -0.211049610379,C37C3.1; 0.0536755869027,C23F12.4; 0.591093642463
C23H3.5; -0.404752986225,C38D4.4; 0.192019008089,C23G10.7; 1.17391430976
C24H12.4; -0.434915568294,C39E9.11; 0.0936296383828,C24D10.5; 0.26052302422
C25A1.4; -1.22093367652,C42C1.8; 0.155251445369,C24D10.6; 0.401539093883
C25A11.2; -0.505007543283,C44E4.4; -0.192283518249,C24G6.8; 0.448042671945
C25G4.2; -0.298546583561,C44E4.5; -0.0584426435358,C24H10.2; 1.65642287751
C25H3.4; -1.17109378987,C47B2.2; -0.0807576492515,C24H12.5; 0.414454644594
C26E6.3; -0.701934627328,C47D12.2; -0.121496690921,C25A1.13; 0.756149831728
C27A12.6; -0.484750087081,C47E12.2; -0.0578564262153,C25A1.16; 0.335784851079
C27A12.9; -1.20789312719,C47E8.4; -0.198383245308,C25A1.1; 1.21805533927
C27A7.6; -0.378305245323,C48E7.11; -0.136843676915,C25A1.5; 0.332378747563
C27B7.2; -0.612630940947,C49C3.7; 0.198161681294,C25F6.1; 0.427764987355
C27B7.5; -0.254110064723,C49H3.3; -0.0144589676149,C25G4.3; 3.25009864783
C27F2.10; -0.523289578118,C50D2.5; 0.0480097351621,C25H3.14; 2.26551635441
C27F2.4; -0.212372492966,C50E3.5; -0.194363388794,C25H3.7; 0.482260489759
C27F2.9; -0.655742899679,C50F4.4; -0.187879717968,C26E6.6; 1.62537694902
C27H6.3; -0.258704504766,C50F4.6; -0.178850253381,C26F1.3; 0.316582304001
C27H6.8; -0.34208146701,C54G6.1; 0.171181481048,C27A12.7; 0.204524456139
C27H6.9; -0.478260108489,C55C3.5; -0.186976492485,C27A7.5; 1.67296212202
C28A5.2; -1.58798021383,C56E6.2; 0.0242684160922,C27C12.1; 4.38220854777
C28H8.3; -0.263041179506,CD4.3; 0.0576050391516,C27C12.3; 0.670392524791
C28H8.4; -0.334344831989,D1007.8; 0.03236319082,C27C12.4; 1.22019640335
C28H8.9; -1.23887802828,D1014.4; 0.00332934392464,C27C7.1; 0.518411335399
C29A12.1; -0.642962261924,D1046.2; 0.121927302197,C27D6.4; 0.80194030795
C29E4.12; -0.896399666543,D1054.14; -0.0839881763625,C27D8.4; 1.87476772512
C29E4.15; -0.669436563525,D1054.3; 0.0702622257517,C28C12.12; 0.910787480391
C29F7.3; -1.37721745156,D2005.4; -0.0121376283259,C30C11.1; 1.07352477178
