Left Cell Higher; logFC,Same Level; logFC,Right Cell Higher; logFC, ,Criteria:, p = N/A, medRPKM = 25.0, logFC Threshold = 0.2
D1007.10; -1.10235393424,D1081.9; -0.0466433401294,C49C3.6; 0.550754943532
D1007.5; -0.34955545637,D2013.6; 0.0891361710988,C49C3.7; 0.749380551406
D1022.4; -0.747636521249,D2023.4; -0.00679424292106,C49H3.3; 0.690879655549
D1037.1; -0.270564555984,D2024.5; 0.0652504842454,C49H3.4; 0.522944508206
D1043.1; -0.295709094251,D2030.11; -0.0816687556473,C50B8.1; 0.285446764898
D1046.2; -0.218436243957,D2030.8; 0.108104676074,C50B8.3; 0.780250032572
D1054.1; -1.19000821018,D2063.3; 0.0906744291032,C50C3.1; 0.405896298813
D1081.8; -0.207325980471,D2085.3; -0.026948537954,C50D2.5; 0.639213193401
D2005.4; -0.420957337728,D2085.4; 0.0264699849524,C50F4.12; 0.916377874315
D2030.1; -0.867426136524,D2085.5; 0.0770634269976,C50F4.16; 0.516835511619
D2030.2; -1.10435030896,E02D9.1; 0.171460883421,C50F4.6; 0.440297403558
D2030.4; -0.221478931552,E04D5.1; -0.0906956816928,C53B4.6; 0.683097724362
D2030.7; -0.249463364096,EEED8.3; 0.0601913954404,C53D6.6; 1.30152854802
D2092.5; -0.507007139721,F01F1.11; 0.0699466843814,C55A6.1; 0.543746516297
D2096.12; -1.01636904897,F01F1.15; -0.0396348637795,C56A3.5; 0.634416508963
D2096.7; -0.328718359639,F01F1.9; 0.0475666927345,C56E6.9; 0.762854508649
DC2.3; -0.254117173764,F01G4.6; 0.0162220419896,C56G2.7; 0.495067555176
DY3.8; -0.488531366195,F02A9.4; 0.103869553733,C56G7.3; 0.828160218157
E01A2.1; -0.279144970575,F02E8.4; 0.177298373486,CC8.2; 1.2758283557
E01A2.2; -0.471747551342,F02H6.2; -0.0688970508421,D1005.1; 1.01735498297
E02H4.6; -0.998391909974,F07C6.4; 0.105421849583,D1014.2; 1.40790778773
E02H9.3; -0.898231758207,F07H5.10; 0.023476127302,D1014.4; 0.566150064961
EEED8.10; -0.655220015774,F08D12.1; 0.111510271225,D1046.3; 1.18585610808
EGAP2.1; -0.320196142666,F08F8.2; 0.137829942206,D1069.3; 0.659041005459
E_BE45912.2; -0.909760701198,F08F8.4; 0.0173128374395,D1081.6; 0.41830977803
F01F1.1; -1.31620206501,F08F8.7; 0.0103711359945,D2005.3; 0.756665331568
F01G4.3; -0.793974384439,F08F8.9; 0.126983501043,D2005.7; 0.367885137048
F02E9.1; -0.743003540702,F08G12.2; 0.177937834533,D2007.1; 1.03701364123
F02E9.9; -0.393334481216,F08G5.1; 0.141666527925,D2007.4; 0.773345805682
F02H6.3; -0.69330374702,F09E5.7; -0.1260291474,D2013.3; 0.637042255853
F07H5.5; -0.334375403015,F09G8.3; -0.0125964934432,D2023.5; 0.600157402338
F08B4.7; -0.324539859774,F10B5.8; 0.0364788282695,D2023.6; 0.294004624409
F08B6.3; -0.420497109288,F10C2.4; -0.132865410879,D2030.3; 0.491889543926
F08C6.2; -1.21092097833,F10C2.5; -0.125404110137,D2085.6; 0.431728061846
F09D1.1; -0.567436539083,F10C5.2; -0.0519296499382,D2096.8; 0.250958833612
F09E5.2; -0.644104148805,F10E9.3; 0.155902860977,E01A2.5; 0.457365586219
F09F7.4; -0.991728206328,F10G7.9; 0.0127213784197,E01A2.6; 0.27854513368
F09G2.2; -0.344438405063,F11A10.5; -0.137138733593,E01B7.2; 0.847484015112
F09G2.8; -0.503981537358,F11A10.6; 0.0983124948467,E01G4.3; 0.412362687744
F09G2.9; -0.57751011683,F11A10.7; -0.150818477474,E02H1.1; 0.34815282885
F10B5.2; -0.551617993101,F11A3.2; -0.0572183847654,E02H1.2; 0.713353951205
F10D11.2; -0.327353079907,F11E6.7; -0.15210533734,E02H1.5; 0.345311717735
F10D7.2; -1.64980279029,F13B12.1; 0.113501263559,E02H1.6; 1.57563339677
F10D7.5; -1.3095020708,F13B12.6; -0.0734224100629,E02H1.8; 0.560131055319
F10E7.6; -0.304356412985,F13E6.5; -0.132768384171,E04A4.5; 0.273699906465
F10E9.7; -0.833280531432,F14B4.3; -0.00757218212733,EEED8.14; 0.411382994364
F10G2.4; -2.14918149832,F14D7.2; -0.107380888794,EEED8.15; 1.074594465
F10G8.9; -0.942187455267,F14E5.2; -0.176491509039,EEED8.16; 0.477932579898
F11A5.9; -1.79844424329,F14F11.1; 0.0892522822447,F01D4.5; 0.448277147668
F11C1.7; -0.251718067299,F14H3.5; -0.157128757576,F01F1.2; 0.464902105666
F11G11.5; -0.459546467249,F17C11.10; 0.156705474833,F01G4.4; 0.460781856504
F12F6.1; -0.44616940044,F17C11.7; 0.119962394581,F02D10.6; 1.0777185842
F12F6.7; -0.36059773609,F18A1.7; -0.0145848929595,F02E9.10; 0.508524553528
F13A7.14; -0.256155437934,F18A1.8; -0.000889406787581,F02E9.5; 0.453227861926
F13D12.5; -0.332597976568,F19B10.2; -0.0128609398461,F02E9.7; 0.977934236642
F13E6.1; -1.39277352112,F19F10.10; -0.0013497276324,F02H6.4; 0.366401602968
