Left Cell Higher; logFC,Same Level; logFC,Right Cell Higher; logFC, ,Criteria:, p = N/A, medRPKM = 25.0, logFC Threshold = 0.2
F15D3.6; -2.62358099076,chc-1; 0.0213752138234,C47D12.2; 1.54846708749
F17C11.10; -1.15756109211,cif-1; -0.00642037402358,C47E12.2; 1.61061733322
F17H10.1; -2.85187826751,cki-2; -0.00631740042603,C47E8.4; 0.65828034425
F18A1.6; -1.45424008567,clec-91; -0.165025950506,C47F8.1; 8.98585206484
F18A1.7; -1.14428977353,cnx-1; 0.118405482834,C47G2.4; 1.29220363257
F18A11.3; -0.923465112161,crn-1; 0.198214225078,C48B6.9; 0.328839577312
F18C12.3; -0.809957143653,csn-2; -0.120475236318,C49A9.10; 3.10711699581
F19B10.10; -3.80966392862,cup-2; 0.0169076320081,C49C3.6; 1.14560191659
F19F10.10; -1.11653532466,cux-7; 0.15582111624,C49H3.4; 7.88597138821
F19F10.11; -1.09696100999,cyb-1; 0.0154785740127,C50C3.1; 1.28481218488
F20A1.9; -3.6231565159,cyc-1; 0.109510576552,C50E3.5; 2.20513718635
F20D1.3; -1.367304601,daf-1; 0.165848559294,C50F2.2; 1.656796328
F21D5.6; -1.34042152426,dic-1; -0.00937263365318,C50F2.3; 1.27327303939
F21D5.7; -0.930591661235,dif-1; -0.15251136409,C50F4.14; 1.52416217886
F21F3.6; -0.844093574902,dnj-13; 0.00740052109974,C50F4.16; 2.36511979414
F21H12.6; -2.78756049514,dnj-18; -0.180761876001,C50F7.4; 9.57673522685
F22D6.2; -1.37664942549,dnj-1; -0.16204527803,C52B9.4; 3.28775964779
F22E5.17; -0.231519834324,dss-1; -0.0419340429636,C52E12.4; 2.83311754272
F23A7.4; -1.63689038644,dut-1; -0.00300162007419,C53A5.17; 1.66828756213
F23A7.8; -2.12168085091,ekl-5; 0.170291691793,C53B4.4; 0.902174177104
F23C8.6; -1.50285230741,elpc-3; 0.174484992544,C54G4.7; 8.43995992314
F23F1.10; -3.51744798941,fbp-1; 0.0984831971834,C55A6.1; 0.395986727249
F23F1.5; -1.17578662561,fbxa-215; 0.078366058106,C56A3.4; 0.377382105128
F23F1.9; -0.334963484926,fem-2; 0.166096516146,C56A3.5; 1.8660106404
