Left Cell Higher; logFC,Same Level; logFC,Right Cell Higher; logFC, ,Criteria:, p = N/A, medRPKM = 25.0, logFC Threshold = 0.2
C36A4.14; -7.69337970181,K07F5.15; -0.133495508966,C27D9.1; 0.911222947945
C36E6.2; -2.38917833462,K07H8.10; 0.117859532553,C27F2.10; 0.38794762466
C37A2.8; -0.655532125135,K10H10.1; 0.0743245734824,C27F2.8; 0.589924589596
C37C3.9; -0.561713874297,K11D12.5; -0.156240322787,C27H6.9; 1.2584986517
C37E2.1; -2.48485223231,K12H6.6; -0.0901996678227,C28C12.12; 0.617728365531
C37H5.13; -0.36980524922,M01E5.3; -0.0739811896211,C28H8.1; 0.729940374469
C37H5.6; -0.595337606564,M01E5.4; 0.0131803681351,C28H8.3; 0.547488755284
C38C10.2; -0.849478985318,M04B2.2; -0.0558816758436,C28H8.9; 0.86789962281
C38D9.8; -8.5826342179,M106.7; 0.134965410068,C29A12.1; 1.49184105739
C39E9.12; -0.769481712599,M57.2; -0.0126744778738,C29E4.12; 0.545073183159
C40H1.6; -0.53360153369,R02D3.7; 0.127473776478,C29E4.13; 1.22206289366
C41D11.9; -0.471259947899,R02D3.8; -0.0220201517753,C29H12.5; 0.274188700551
C41G7.9; -1.51094330962,R07E5.11; -0.0763018675943,C30A5.3; 0.390164050302
C42C1.13; -2.06321446616,R07E5.1; -0.07804930512,C30B5.4; 0.694465494374
C43H6.3; -0.714361725069,R07H5.8; 0.118499076985,C30F12.2; 2.14509538496
C43H6.7; -3.01722982717,R09B3.3; 0.136518066862,C30H6.8; 6.21104981165
C44B7.10; -0.529435708486,R10D12.12; -0.00460621466387,C30H7.2; 0.871657511082
C44C10.4; -1.94410204078,R11D1.1; 0.119515041947,C31G12.1; 1.10921275543
C44E4.3; -0.778195858614,R12E2.13; 0.0888387323954,C31H1.8; 0.502813162118
C45B2.6; -5.69364878046,R12E2.2; -0.0772130535917,C32A3.3; 1.80556533763
C45G9.2; -0.428565998999,R151.2; 0.0878504319459,C32D5.11; 0.601413167249
C46C11.1; -3.18000683016,R166.2; -0.0198786376102,C32E8.5; 1.91778761921
C46C2.7; -1.45206117013,R74.6; -0.105220339109,C32F10.8; 2.52566555268
C46F11.5; -1.18257266553,T03F6.3; 0.0895167543367,C33A12.1; 1.35973326599
C47E8.4; -0.267667352442,T03G11.6; 0.0411345854275,C33A12.3; 1.56220513445
C47G2.4; -1.19595136029,T05E8.3; 0.135588335301,C33C12.10; 0.879762802671
C48B4.6; -2.20902986313,T09A5.8; 0.148635776399,C33F10.4; 0.323751342274
C48B6.10; -0.882104105583,T09A5.9; 0.101390412095,C33H5.17; 1.65150724198
C48E7.2; -0.242856287526,T09B4.9; 0.142629390615,C33H5.8; 1.36523439847
C50B6.3; -1.9169447844,T09E8.3; 0.132901438762,C34B2.5; 0.97655747762
C50F4.12; -0.544914244904,T09F3.2; 0.16224591997,C34B2.6; 0.863022843198
C50F4.14; -0.23880736232,T09F3.5; -0.129670801089,C34C12.2; 1.55698594422
